"The YRDSB Board of Trustees will be gathering feedback from the community to inform the renewal of our Multi-Year Strategic Plan.

Visit our website to learn about what the MYSP is & you can provide your feedback. 

www.yrdsb.ca/MYSP",0

"YRDSB News and Events: Building Community Through Restorative Practices 🧑‍🤝‍🧑

Recently educators had an opportunity to share insights from our Community Circles and Restorative Practices training at CEC North. 

In this video participants delve into the transformative power of restorative approaches shifting from punitive measures to fostering relationships and healing. Through community circles and intentional actions they've witnessed remarkable outcomes: students engaging with peers they wouldn't typically interact with forming lasting bonds both inside and outside the classroom. 

Together let's celebrate #PinkShirtDay by championing community building and prioritizing student well-being.",0

"Even though it doesn't feel very wintery right now we've got one more message from the Kindies at Aurora Grove PS for Winter Walk Month!

Today they're answering the question ""What do you love about walking in the winter?"" 🌨️❄️☃️

Prepare for cuteness overload!

#WinterWalkMonth
#ActiveSchoolTravel",0


Happy National Custodial Workers Recognition Day! We are incredibly grateful to our dedicated and hardworking caretaking and maintenance staff who keep our schools and buildings safe and running in tip top shape! Thank you for all that you do!,0

"Students from Sutton DHS Huron Heights SS and Newmarket HS attended a day of learning with other students from around the region at the Lafontaine-Baldwin Youth Leadership conference.

 

Hosted at Pickering College and the Sharon Temple the event focused on “Reimagining Canadian Democracy Anishinaabe Perspectives.” Students heard from Elder/Knowledge Keeper John Rice; Writer and Political Philosopher John Raulston Saul; Chippewas of Georgina Island First Nation Council Member Dylan Big Canoe; YRDSB Indigenous Transition Coordinator Erica Kelly; and Canadian Journalist Author and Documentary Producer Steve Paikin.

 

“There are guest speakers coming in talking about the importance of Orange Shirt Day what has happened in history and how we can move forward as a community and as people really just learn more about who we are and how we can get more in touch with who we are” said Lily Bates Indigenous Student Trustee and a conference participant.

 

Students were encouraged to reflect on the past and the future of government systems Anishinaabe governance perspectives the importance of culture and identity and the role students can play now and in the future.

#NDTR
#OrangeShirtDay
#truthandreconciliation",0

"Every September our schools plan Terry Fox Runs to honour and support  Terry's marathon of hope.

Events like this one at Black Walnut PS have been taking place across our board over the past few weeks all in the name of funding cancer research. 

To date YRDSB schools have been able to raise over $5375000 to support the @terryfoxfoundation. Black Walnut PS alone has raised over $38000 over the years. 

We thank all of our runners organizers their families and friends whose generosity has helped to make this all possible. 

#TerryFoxRun
#imnotaquitter 
#fundraising",0

Due to inclement weather #yrdsb school bus and taxi service cancelled for today April 11. Schools remain open.,1

"This past weekend Sutton District High School had the honour and privilege to provide space for the annual Chippewas of Georgina Island Pow Wow.

The two day event was an amazing opportunity to celebrate and learn more about Indigenous culture.

The event included dancing drumming artwork food vendors and so much more. 

Our deep thanks to all of the organizers and to the Chippewas of Georgina Island for inviting us to support this amazing event. 

#Powwow
#georginaislandpowwow 
#anishinaabe",0

"Last week over 200 community members gathered at Westmount Collegiate Institute for a Jewish Fun Fair and Meet and Greet. The intent of the event was to come together as a community to foster cultural understanding and to celebrate the Jewish holidays Rosh Hashanah Yom Kippur and Sukkot that take place in September.

 

Attendees at the event took part in activities geared towards learning about Jewish traditions customs and practices. Some of the activities included traditional dancing holiday related artwork games challah braiding shofar making and many more!

 

“Great event as a parent I was so happy to see the YRDSB involvement and participation in celebrating Jewish culture” said a parent attendee. “We'd love to see this happening each year. We met other families and made connections and got a chance to meet some of the YRDSB trustees to which was great. Thanks again for such a lovely event.”

 

YRDSB thanks all of the vendors and organizations that contributed and donated to make the event possible.",0

"YRDSB News And Events: Promoting Skilled Trades and Technology 👩🏾‍🔧🛠️👩🏼‍💻

Explore the world of skilled trades and technology at YRDSB!

In this video we take you on a journey to discover the exciting opportunities available to grade 7 and 8 students. Students had the opportunity to visit different colleges engage in hands-on activities and dive into the world of trades and technology. Hear firsthand from students about their immersive experiences and the valuable skills they learned. 

#STEM
#SkilledTrades 
#SkilledTradesAndTechnology",0

Severe weather conditions today snowstorm and blizzard busses cancelled,1

"💫We are getting so excited for the upcoming #StandingInTheDoorway2023 exhibition at Markham Museum! 💫 Opening September 28 the exhibition includes this art installation by students from @yrdsb.schools Bur Oak Secondary School. Each student artwork was made in reflection and response to the 100th Anniversary of the Chinese Exclusion Act with the theme “Resilience.” Created from felt each design is laser cut then sewn together into two banners. Each banner is over 40 feet long and will be displayed in the lobby of the museum until the exhibition closes at the end of February 2024. 

To explain the art processes students from Mr. Niles’ Communication Technology class created a documentary to compliment the banners. 👉 Link in bio to watch this amazing video.

🙏🏼 Special thanks to Martha Griffith and George Niles for making this project happen. 

#MarkhamMuseum #YrdsbMuseum #BurOakSecondarySchool #ChineseExclusionAct
#Celebrate
#Museums #ontariomuseum",0

"Creating inclusive environments for all learners is critical to creating the conditions needed for students to achieve their full potential.

Here are a few of our staff talking about how they help to create inclusive environments for our students who are deaf or hard or hearing.",0

"Active school travel has so many benefits! 

If you can make the time walking or wheeling to school has so many benefits such as:

Creating time to connect as a family ✅

Improves physical and mental health ✅

Encourages social interaction and improves social skills ✅

Contributes to an active lifestyle ✅

And so much more! 

#WalkToSchool
#ActiveSchoolTravel
#IWALK",0

"Meet Aaron!

Aaron is the educational audiologist for YRDSB. He works closely with the deaf and hard of hearing team to create inclusive environments for our students who are deaf or hard or hearing. 

One of the ways he does this is through technology called FM systems. In this video he explains how FM systems work and why they're so important for students with hearing loss.",0

"Happy IT Professionals Day! 💻🖱️🛜

We may be biased but we think we've got the best IT staff in the business!

Thank you to all our AMAZING IT staff for creating and maintaining the infrastructure needed for our students & staff to succeed.

Full video: https://youtu.be/4Wb7Ezyg1rQ",0

"Powley Day commemorates a date of great cultural & political significance for Métis peoples.

Sept 19 represents the anniversary of the ground-breaking R v. Powley Supreme Court of Canada decision that ushered in a new era of Métis rights.

Learn more about this historic day.

 

#FNMIyrdsb

#Metis",0

Due to inclement weather transportation services are cancelled today Thursday December 15 2022. Schools remain open to students.,1

"Happy International Week of Deaf People! 

This year's theme is Building Inclusive Communities for All so we'll be sharing some messages from staff and students talking about the importance of inclusion and how we can all help to make sure our schools are inclusive spaces for everyone!

We're kicking off the week by having some of our friends at Sixteenth Avenue PS teach us how to sign ""International Week of Deaf People"".

#YRDSBXceptionALL 
#WeekOfDeafPeople
#InclusiveSchools",0

"YRDSB News and Events: GPP301 Leadership and Peer Support Program

GPP 301 is a peer support and leadership program designed for students with disabilities in York Region. This credit-bearing course focuses on building students' leadership skills self-esteem and experiential learning. 

It encourages students to set both short-term and long-term goals related to their future such as making friends using public transit and learning life skills.

The program includes transformative experiences like staying overnight on a trip helping students step out of their comfort zones and so much more. Through GPP 301 students gain confidence develop independence and learn valuable skills that will benefit them in the future.

Full video: https://youtu.be/VYNUk3j6-CI",0

"To all those beginning celebrations for Rosh Hashanah this evening we wish you and your loved ones a very happy celebration. 

Please take a moment to watch this video about Rosh Hashanah.",0

Do not come to school today,1

"Welcome back to school!🏫🎒📚

We hope all our students have an amazing first day and an incredible 2023-24 school year! #FirstDayOfSchool",0

"At the start of each year families receive important start-up information about your school and the school year. 

Please take the time to review this information and the online Guide to the School Year and complete the important start-up forms you will receive by email from your child's school.

If you have questions about the start-up package. please contact your child's school.",0

"REMINDER - The first day of school for most elementary and secondary schools is September 5 2023.

The first day of school for our early start schools is August 28 2023. 

We can't wait to welcome you back! 🏫🎒📚

https://ow.ly/TczS50PC4mv",0

due to extreme weather conditions transportation is cancelled today,1

"The 2023-23 Guide To The School Year is now available!

This resource is chocked full of important information to help prepare your child for the upcoming school year.

Learn more about:

Student Resources 📒

Mental Health Supports 🧠

School Transportation 🚌

Student Engagement 👨‍💻

Curriculum Resources 📚

Online Tools 💻

School Routines ✅

 

And so much more!

https://ow.ly/lyOi50PzY7b",0

Due to severe weather conditions schools are still open but transportation is cancelled,1

"ICYMI: The 2023-24 YRDSB school year calendars are now available!🗓️

Downloadable versions will be available soon. 

https://ow.ly/j9IQ50PzXy0",0

"Please take a few moments to read this message from our outgoing Director of Education Scott Yake and our incoming Director of Education Bill Cober. 

It is our sincere pleasure to serve the students families and staff members in the York Region District School Board. We have both spent the majority if not all of our careers in education at York Region District School Board and throughout that time have seen such a genuine level of care and commitment to student learning achievement and well-being. 

We recognize that there will always be more work to do to ensure we are providing students with an education that meets their diverse learning needs and prepares them for the future and that we are creating identity-affirming environments where all members of our community feel valued respected safe and welcomed.. Every day we see passionate and driven members of our school community striving to do just that and in the process making a real difference in the lives of our students and their families. 

It is a privilege to lead this organization and work with such a dedicated team of staff in partnership with families and community to serve the students and families of York Region. The students in our system inspire us every day and we will continue to centre their learning achievement and well-being in all that we do as an organization. 

As the outgoing Director of Education I want to thank students families staff members and community partners for all that you do to make this organization what it is. It was an honour to serve this community as your Director and I feel very optimistic about the future because of the people who make up YRDSB. Each day that I have served in this role I have seen a level of engagement commitment and determination that is inspiring and I know our incoming Director of Education knows our system well is a caring and strategic leader and is passionate about delivering the very best for the YRDSB community. 

As the incoming Director of Education I want to thank Scott for the leadership he has provided over the past nine months. 

Full message: https://ow.ly/LR4l50Pq0EA",0

"Today is Emancipation Day which commemorates the Slavery Abolition Act of 1833. 

Emancipation Day celebrates the strength and resilience of Black communities and is an opportunity to reflect educate and engage in the ongoing fight against anti-Black racism and discrimination.",0

"The Emily Carr SS summer school teamed up with the Pierre Berton Resource Library to help create a more inclusive summer school experience by ensuring that food is available to anyone who needs it. 

Over the last three weeks with the support of community organizations and other donors students at ECSS and five other summer school locations have had access to nutritional snacks. Such initiatives play a role in fostering a supportive and caring environment as they demonstrate a commitment to the well-being of all students. This initiative provided several benefits among the student population; students had access to nutritional food that assisted in their concentration energy level and well-being as well as their overall sense of mattering and belonging.

With summer school at an end Pierre Berton Resource Library has stepped up to continue supporting this initiative. Through the collaboration with @VaughanPublicLibraries students can know they can access snacks in the youth area at Pierre Berton Resource Library whenever the library is open. 

#SummerSchool
#FoodAndNutrition 
#Inclusivity",0

Today is a snow day,1

"📰NEWS RELEASE📰

YRDSB Congratulates 2022-23 Top Scholars

Learn more: https://ow.ly/sGt050PkJ9K",0

"If you haven't registered your little one for Kindergarten yet now is a great time!

Registration is available: 

Online 💻
By Phone 📞
By Mail ✉️
In Person 🧑‍🤝‍🧑

Learn more: www.yrdsb.ca/kindergarten",0

"📰NEWS RELEASE📰

York Region District School Board and CUPE 1196 Ratify Agreements

More: https://ow.ly/6Bxj50P45HZ",0

"Happy #CanadaDay!

As we celebrate let’s also let Canada Day serve to strengthen our commitment to Truth and Reconciliation as a nation.

It is incumbent upon all of us as Canadians & particularly as members of an educational community to read the Truth & Reconciliation of Canada Reports & the Calls to Action & to understand the role we all play in moving forward towards this future. https://nctr.ca/records/reports/",0

"That's a wrap on the 2022-23 school year!

Wishing all our students families and staff a very safe relaxing and fun summer break! 

We'll see you in September! #LastDayOfSchool #SchoolsOutForSummer",0

Due to inclement weather #yrdsb school bus and taxi service cancelled for today January 25. Schools remain open.,1

"As #PRIDEMonth comes to an end we're sharing part 3 of our Supporting 2SLGBTQI+ Students podcast series.

Check out the latest episode where we sit down with two parent advocates to talk about their firsthand experiences supporting 2SLGBTQI+ youth.

🎧: https://ow.ly/t1aU50P1v2P

#InspirePrideYRDSB 
#PRIDE
#Pridemonth",0

"Today is the last day of school for our elementary students!

Just a reminder for parents that today is an early release day. #SummerIsAlmostHere 🌞🌞🌞",0

"Please take a few moments to watch this end-of-year message from our current Director of Education Scott Yake and our incoming Director of Education Bill Cober.

Full video: https://youtu.be/3DMgaRqme0Q",0


REMINDER - When an inclement weather day is declared schools will remain open to students. The decision is made by 6AM and messages will follow. Please monitor local media social media and the Board website,0


transportation is cancelled today,1



"YRDSB News and Events: Providing Chromebooks and Technology to Students

 

YRDSB partnered with CommKids to help close the technology gap for students. The program aims to provide Chromebooks and technology to students who are in need.

 

Students expressed their excitement about receiving the Chromebooks emphasizing the educational benefits they bring. They shared how the laptops aid them in schoolwork and research.

 

The initiative also focuses on promoting digital literacy skills and helping students discern credible information online.

 

Teachers and students collaborated to develop resources and support students in acquiring these essential skills. Overall the program serves as a significant step towards addressing the disparities in access to technology and empowers students with the tools they need for academic success.

 

Full video: https://youtu.be/Q1y4HtwBsWE

#YRDSBNewsAndEvents
#Technology
#EqualAccesa",0


"Celebrating Black Excellence – Black Voices: Spirit Douglas

 

Hey my name is Spirit Douglas and I attend Randall Public School. I am a girl that enjoys doing a variety of activities. I adore drama art singing k-dramas and lots of other things.

 

#BlackVoices

#BlackExcellence

#BeyondBHMyrdsb",0

schools are closed today,1

"Have you made a submission to Celebrating Black Excellence - Black Voices project?

We are looking for Black YRDSB students staff and community members to share their voices on our Instagram by responding to one of the following prompts.

 

·       I am proud to be Black because...

·       It's important to me that I see my identity affirmed at school/work because

·       What I need at school/work is…

·       People need to know that…

·       I love myself because…

·       I am magic because…

·       Do you have a story to tell? Let us know what it is.

·       If these prompts don’t resonate with you please feel free to answer a prompt or question of your own making.

 

Community members can visit www.yrdsb.ca/celebratingblackexcellence to make a submission.

 

Students who are interested in making a submission should contact a staff member at their school to get access to our internal submission form.

 

Staff members can also make a submission through our internal submission form.

 

#BHMyrdsb

#BlackExcellence

#BlackVoices",0

Today is an inclement weather day so do not come to school today,1

"Time for the #TuneInYRDSB Monthly News Wrap-Up!

Check out this quick episode to stay up to date on what's coming up at #YRDSB in February. 

Listen: anchor.fm/yrdsb",0

"YRDSB News And Events: FNMI Cultural Teachings 

The First Nations Métis and Inuit Education Team in cooperation with the York Region District School Board were excited to offer cultural learning through Indigenous teachings for YRDSB students and families. 

Students from various schools were able to take part in this learning by Cultural Advisor and Elder Shelley Mandakwe Charles from the Chippewas of Georgina Island First Nation. The teachings focused on ceremonial protocols clan system and naming ceremony teachings.

#FNMIyrdsb",0

"YRDSB is seeking feedback from families about the Every Student Counts Survey. 

The draft survey is available on the Board website for review as well as a form for families to provide their feedback. 

More: www.yrdsb.ca/escs",0

"YRDSB will be continuing our celebration of #BlackExcellence with Celebrating Black Excellence - Black Voices!

This campaign aims to centre & elevate Black voices in our community through video submissions. 

YRDSB students staff and community members who identify as Black are encouraged to make a video submission which will be shared on our Instagram throughout the month of February. 

Students who are interested in making submissions should reach out to a staff member at their school to get access to our internal submission form.

Community members who would like to make a submission can learn more by visiting our website.
www.yrdsb.ca/celebratingblackexcellence",0

Today is an inclement weather day February 7th schools are still open,1

"Today we recognize #WorldHijabDay and join the global movement to help promote freedom of religious expression cultural understanding and international solidarity.

Let's all join in celebrating the millions of Muslim women who choose to wear the hijab.",0

"Today marks the beginning of #BlackHistoryMonth!

Throughout February YRDSB will be celebrating the contributions that Black Canadians have made to Ontario's economic social political and cultural fabric.

Stay tuned to learn more about our celebration of #BlackExcellence.

#BHMyrdsb",0

"This week on the podcast we had members from our Educators for Tamil Student Success @uukkamathu.kaividale join us to talk about Tamil identity & to consider how we can help to create learning & working environments that are affirming for Tamil students & staff.

Listen: anchor.fm/yrdsb 

#TamilHeritageMonth
#TuneInYRDSB
#TamilIdentity",0

Inclement weather day today,1

In the case that there is an inclement weather today do not come to school,0

"Today we recognize the National Day of Remembrance & Action Against Islamaphobia.

We remember the 6 victims of the Quebec mosque attack & extend our deepest sympathies to their loved ones & those affected.

At #YRDSB we stand united against Islamaphobia and all forms of racism.",0

"YRDSB News And Events: The Children of Willesden Lane Novel Study

Students from Lorna Jackson P.S. Maple Creek P.S. Anne Frank P.S. Victoria Square P.S. and Sir Wilfrid Laurier P.S. are currently involved in learning about the book The Children of Willesden Lane supported by @liberation75 and the USCShoah Foundation.

“The Children of Willesden Lane” is a true story that begins in Vienna in 1938 when it quickly becomes dangerous to be Jewish. The heroine of the story is a 14-year-old young Jewish girl named Lisa Jura who dreams of becoming a concert pianist. Her parents are able to secure her a spot on the Kindertransport to London with 10000 other Jewish children. At the train station in Vienna Lisa’s mother tells her to “hold on to your music.” She doesn’t just mean the music Lisa is taking with her but also the music in her heart.

 

#HolocaustEducation

#HolocaustRememranceDay

#NeverAgain",0

"REMINDER - Students in Grades 5-12 don’t forget to cast your vote for the student trustee candidate to represent your area. 

Voting closes on January 30 2023.

Check your GAPPS for more information or visit www.yrdsb.ca/studenttrustees",0

"Today we recognize Int’l Holocaust Remembrance Day and honour the nearly 6M Jews targeted and murdered during the Holocaust. 

Our collective responsibility is to remain committed to eradicating antisemitism to ensure such an atrocity never happens again. 

We also remember POC the Romas people with exceptionalities 2SLGBTQ+ people and all those targeted and murdered by the Nazis.",0

"Due to anticipated inclement weather transportation services are cancelled for tomorrow Jan 26. 

Schools will remain open to students. In-person exams will not occur on Jan 26; schools to give more info. Virtual school exams continue as scheduled.

More: https://www2.yrdsb.ca/preparing-winter-inclement-weather",1

"Today we celebrate World Day for 
African and Afrodescendant Culture.

This day serves as an important opportunity to celebrate the rich heritage and contributions made by members of the African diaspora around the world.",0

"Today we recognize the #InternationalDayofEducation.

Education is a human right a public good and a public responsibility.

Education is humanity’s greatest renewable resource and we must reaffirm the role of education as a fundamental right for all.",0

"Area voting for the #YRDSB Student Trustee elections is now open!

In this round all students in Grades 5-12 will have an opportunity to vote for a student trustee candidate to represent their area of the board.

Voting closes on January 30. 

Learn more at www.yrdsb.ca/studenttrustees",0

Due to inclement weather #yrdsb school bus and taxi service cancelled for today April 11. Schools remain open.,1

